permalink,title,released
"/assignments/assign6/","Assignment 6: Graphics Library and Console",false
"/assignments/assign7/","Assignment 7: System Monitor with Interrupts",false
"/assignments/project/","Project Suggestions and Guides",false
"/labs/lab6/","Lab 6: Drawing into the Framebuffer",false
"/labs/lab7/","Lab 7: Raspberry Pi, Interrupted",false
"/labs/projectlab1/","Project Lab 1: What is Your Project?",false
"/labs/projectlab2/","Project Lab 2: How Are You Doing?",false
"","Computer Arithmetic: Signed and unsigned numbers",false
"","",false
"","Git Workflow",false
"","Interrupts",false
"","Interrupts and Concurrency",false
"","Performance",false
"","Sensors",false
"","Sound",false
"","Wrap Up",false
